Species,N_1_start,N_1_end,M_1_start,M_1_end,T_1_start,T_1_end,B_start,B_end,T_2_start,T_2_end,M_2_start,M_2_end,N_2_start,N_2_end
Canada Goose,1/1/16,2/23/16,NA,NA,2/24/16,5/7/16,5/8/16,8/23/16,8/24/16,9/7/16,9/8/16,11/30/16,12/1/16,12/31/16
Mute Swan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wood Duck,1/1/16,2/29/16,NA,NA,3/1/16,4/30/16,5/1/16,8/14/16,8/15/16,9/7/16,9/8/16,11/14/16,11/15/16,12/31/16
Gadwall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Black Duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mallard,1/1/16,1/31/16,2/1/16,3/14/16,3/15/16,4/30/16,5/1/16,8/14/16,8/15/16,9/14/16,9/15/16,11/30/16,12/1/16,12/31/16
Blue-winged Teal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hooded Merganser,1/1/16,1/14/16,1/15/16,2/29/16,3/1/16,4/30/16,5/1/16,8/31/16,9/1/16,9/30/16,10/1/16,11/7/16,11/8/16,12/31/16
Common Merganser,1/1/16,1/14/16,1/15/16,2/29/16,3/1/16,4/30/16,5/1/16,8/31/16,9/1/16,9/30/16,10/1/16,11/7/16,11/8/16,12/31/16
Northern Bobwhite,1/1/16,4/23/16,NA,NA,NA,NA,4/24/16,10/23/16,NA,NA,NA,NA,10/24/16,12/31/16
Ruffed Grouse,1/1/16,3/31/16,NA,NA,NA,NA,4/1/16,9/7/16,NA,NA,NA,NA,9/8/16,12/31/16
Wild Turkey,1/1/16,4/14/16,NA,NA,NA,NA,4/15/16,9/30/16,NA,NA,NA,NA,10/1/16,12/31/16
Pied-billed Grebe,1/1/16,2/14/16,2/15/16,3/23/16,3/24/16,5/14/16,5/15/16,7/23/16,7/24/16,9/7/16,9/8/16,11/30/16,12/1/16,12/31/16
Brown Pelican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double-crested Cormorant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Bittern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Least Bittern,1/1/16,3/31/16,4/1/16,4/23/16,4/24/16,6/14/16,6/15/16,8/14/16,8/15/16,9/23/16,9/24/16,10/31/16,11/1/16,12/31/16
Great Blue Heron,1/1/16,2/7/16,2/8/16,2/29/16,3/1/16,5/7/16,5/8/16,7/7/16,7/8/16,8/31/16,9/1/16,11/30/16,12/1/16,12/31/16
Great Egret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snowy Egret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Little Blue Heron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tricolored Heron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cattle Egret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Heron,1/1/16,3/14/16,3/15/16,4/14/16,4/15/16,5/31/16,6/1/16,7/31/16,8/1/16,9/14/16,9/15/16,10/31/16,11/1/16,12/31/16
Black-crowned Night-Heron,1/1/16,2/14/16,2/15/16,4/7/16,4/8/16,5/31/16,6/1/16,8/31/16,9/1/16,9/7/16,9/8/16,12/14/16,12/15/16,12/31/16
Yellow-crowned Night-Heron,1/1/16,3/14/16,3/15/16,3/31/16,4/1/16,4/23/16,4/24/16,7/31/16,8/1/16,9/7/16,9/8/16,10/31/16,11/1/16,12/31/16
White Ibis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glossy Ibis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Vulture,1/1/16,2/23/16,2/24/16,2/29/16,3/1/16,4/30/16,5/1/16,7/31/16,8/1/16,8/7/16,8/8/16,10/14/16,10/15/16,12/31/16
Turkey Vulture,1/1/16,2/14/16,2/15/16,4/14/16,4/15/16,5/14/16,5/15/16,7/31/16,8/1/16,8/31/16,9/1/16,11/14/16,11/15/16,12/31/16
Osprey,1/1/16,1/31/16,NA,NA,2/1/16,5/23/16,5/24/16,7/31/16,8/1/16,9/30/16,10/1/16,11/14/16,11/15/16,12/31/16
Mississippi Kite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bald Eagle,NA,NA,NA,NA,1/1/16,5/23/16,5/24/16,8/7/16,8/8/16,8/23/16,8/24/16,11/14/16,11/15/16,12/31/16
Northern Harrier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sharp-shinned Hawk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper's Hawk,1/1/16,2/29/16,3/1/16,3/31/16,4/1/16,5/23/16,5/24/16,8/23/16,8/24/16,8/31/16,9/1/16,10/31/16,11/1/16,12/31/16
Red-shouldered Hawk,1/1/16,2/14/16,2/15/16,3/23/16,3/24/16,4/7/16,4/8/16,8/31/16,9/1/16,9/30/16,10/1/16,11/7/16,11/8/16,12/31/16
Broad-winged Hawk,1/1/16,3/14/16,3/15/16,4/23/16,4/24/16,5/23/16,5/24/16,8/14/16,8/15/16,8/31/16,9/1/16,11/30/16,12/1/16,12/31/16
Red-tailed Hawk,1/1/16,2/29/16,3/1/16,3/14/16,3/15/16,4/14/16,4/15/16,8/31/16,9/1/16,9/14/16,9/15/16,11/30/16,12/1/16,12/31/16
Golden Eagle,NA,NA,NA,NA,1/1/16,5/23/16,5/24/16,8/7/16,8/8/16,8/23/16,8/24/16,11/14/16,11/15/16,12/31/16
Black Rail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clapper Rail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
King Rail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia Rail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Gallinule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Coot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black-necked Stilt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Avocet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Oystercatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilson's Plover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piping Plover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Killdeer,1/1/16,1/31/16,2/1/16,3/7/16,3/8/16,4/14/16,4/15/16,7/14/16,7/15/16,8/14/16,8/15/16,11/30/16,12/1/16,12/31/16
Spotted Sandpiper,1/1/16,3/14/16,3/15/16,5/14/16,5/15/16,5/31/16,6/1/16,7/31/16,8/1/16,8/14/16,8/15/16,10/14/16,10/15/16,12/31/16
Willet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Upland Sandpiper,1/1/16,3/14/16,3/15/16,4/23/16,4/24/16,5/31/16,6/1/16,6/30/16,7/1/16,7/14/16,7/15/16,10/14/16,10/15/16,12/31/16
American Woodcock,1/1/16,1/23/16,1/24/16,2/29/16,3/1/16,4/14/16,4/15/16,8/31/16,9/1/16,9/14/16,9/15/16,11/30/16,12/1/16,12/31/16
Laughing Gull,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herring Gull,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greater Black-backed Gull,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Least Tern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gull-billed Tern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caspian Tern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Tern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forster's Tern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royal Tern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sandwich Tern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Skimmer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Pigeon,1/1/16,4/7/16,NA,NA,NA,NA,4/8/16,9/30/16,NA,NA,NA,NA,10/1/16,12/31/16
Mourning Dove,1/1/16,2/14/16,NA,NA,NA,NA,2/15/16,10/7/16,NA,NA,NA,NA,10/8/16,12/31/16
Eurasian Collared-Dove,1/1/16,2/29/16,NA,NA,NA,NA,3/1/16,10/31/16,NA,NA,NA,NA,11/1/16,12/31/16
Yellow-billed Cuckoo,1/1/16,3/23/16,3/24/16,4/30/16,5/1/16,5/14/16,5/15/16,9/14/16,9/15/16,10/14/16,10/15/16,11/30/16,12/1/16,12/31/16
Black-billed Cuckoo,1/1/16,4/14/16,4/15/16,5/14/16,5/15/16,6/23/16,6/24/16,8/23/16,8/24/16,10/7/16,10/8/16,10/31/16,11/1/16,12/31/16
Barn Owl,1/1/16,3/14/16,NA,NA,NA,NA,3/15/16,9/30/16,NA,NA,NA,NA,10/1/16,12/31/16
Long-eared Owl,1/1/16,2/14/16,NA,NA,2/15/16,4/14/16,4/15/16,8/31/16,NA,NA,9/1/16,11/30/16,12/1/16,12/31/16
Short-eared Owl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Horned Owl,1/1/16,1/23/16,NA,NA,NA,NA,1/24/16,8/31/16,NA,NA,NA,NA,9/1/16,12/31/16
Barred Owl,1/1/16,2/29/16,NA,NA,NA,NA,3/1/16,8/31/16,NA,NA,NA,NA,9/1/16,12/31/16
Northern Saw-whet Owl,1/1/16,2/29/16,3/1/16,3/31/16,4/1/16,5/31/16,6/1/16,8/14/16,8/15/16,8/31/16,9/1/16,11/30/16,12/1/16,12/31/16
Eastern Screech-Owl,1/1/16,3/23/16,NA,NA,NA,NA,3/24/16,8/14/16,NA,NA,NA,NA,8/15/16,12/31/16
Chuck-will's-Widow,1/1/16,4/7/16,4/8/16,5/7/16,5/8/16,5/23/16,5/24/16,7/31/16,8/1/16,8/7/16,8/8/16,9/30/16,10/1/16,12/31/16
Eastern Whip-poor-will,1/1/16,4/14/16,4/15/16,5/7/16,5/8/16,5/14/16,5/15/16,7/23/16,7/24/16,8/31/16,9/1/16,10/14/16,10/15/16,12/31/16
Common Nighthawk,1/1/16,5/7/16,5/8/16,5/23/16,5/24/16,6/7/16,6/8/16,7/14/16,7/15/16,9/14/16,9/15/16,11/30/16,12/1/16,12/31/16
Chimney Swift,1/1/16,4/14/16,4/15/16,5/7/16,5/8/16,5/14/16,5/15/16,8/7/16,8/8/16,8/23/16,8/24/16,10/14/16,10/15/16,12/31/16
Ruby-throated Hummingbird,1/1/16,2/29/16,3/1/16,4/30/16,5/1/16,5/23/16,5/24/16,8/7/16,8/8/16,8/31/16,9/1/16,11/30/16,12/1/16,12/31/16
Belted Kingfisher,1/1/16,3/7/16,3/8/16,4/7/16,4/8/16,4/23/16,4/24/16,7/31/16,8/1/16,8/31/16,9/1/16,11/14/16,11/15/16,12/31/16
Red-headed Woodpecker,1/1/16,3/14/16,3/15/16,4/30/16,5/1/16,5/31/16,6/1/16,7/14/16,7/15/16,8/23/16,8/24/16,11/7/16,11/8/16,12/31/16
Red-bellied Woodpecker,1/1/16,4/30/16,NA,NA,NA,NA,5/1/16,8/31/16,NA,NA,NA,NA,9/1/16,12/31/16
Yellow-bellied Sapsucker,1/1/16,5/7/16,NA,NA,NA,NA,5/8/16,8/31/16,NA,NA,NA,NA,9/1/16,12/31/16
Downy Woodpecker,1/1/16,3/31/16,NA,NA,NA,NA,4/1/16,8/31/16,NA,NA,NA,NA,9/1/16,12/31/16
Hairy Woodpecker,1/1/16,4/7/16,NA,NA,NA,NA,4/8/16,8/14/16,NA,NA,NA,NA,8/15/16,12/31/16
Red-cockaded Woodpecker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Flicker,1/1/16,3/31/16,4/1/16,4/30/16,5/1/16,5/7/16,5/8/16,8/23/16,8/24/16,8/31/16,9/1/16,11/14/16,11/15/16,12/31/16
Pileated Woodpecker,1/1/16,4/23/16,NA,NA,NA,NA,4/24/16,8/14/16,NA,NA,NA,NA,8/15/16,12/31/16
American Kestrel,1/1/16,3/7/16,3/8/16,4/7/16,4/8/16,5/7/16,5/8/16,7/31/16,8/1/16,8/23/16,8/24/16,11/14/16,11/15/16,12/31/16
Peregrine Falcon,1/1/16,3/14/16,NA,NA,3/15/16,5/7/16,5/8/16,7/14/16,7/15/16,8/31/16,9/1/16,11/14/16,11/15/16,12/31/16
Monk Parakeet,1/1/16,4/14/16,NA,NA,NA,NA,4/15/16,8/31/16,NA,NA,NA,NA,9/1/16,12/31/16
Olive-sided Flycatcher,1/1/16,4/14/16,4/15/16,5/23/16,5/24/16,6/14/16,6/15/16,8/14/16,8/15/16,9/7/16,9/8/16,10/31/16,11/1/16,12/31/16
Yellow-bellied Flycatcher,1/1/16,4/14/16,4/15/16,5/23/16,5/24/16,6/14/16,6/15/16,8/14/16,8/15/16,9/7/16,9/8/16,10/31/16,11/1/16,12/31/16
Eastern Wood-Pewee,1/1/16,3/31/16,4/1/16,5/23/16,5/24/16,5/31/16,6/1/16,8/14/16,8/15/16,9/23/16,9/24/16,10/31/16,11/1/16,12/31/16
Acadian Flycatcher,1/1/16,4/14/16,4/15/16,5/14/16,5/15/16,5/31/16,6/1/16,8/14/16,8/15/16,8/23/16,8/24/16,10/31/16,11/1/16,12/31/16
Alder Flycatcher,1/1/16,4/14/16,4/15/16,5/14/16,5/15/16,5/31/16,6/1/16,8/14/16,8/15/16,8/23/16,8/24/16,10/31/16,11/1/16,12/31/16
Willow Flycatcher,1/1/16,4/30/16,5/1/16,6/7/16,6/8/16,6/14/16,6/15/16,7/31/16,8/1/16,8/31/16,9/1/16,9/30/16,10/1/16,12/31/16
Least Flycatcher,1/1/16,4/14/16,4/15/16,5/14/16,5/15/16,6/14/16,6/15/16,7/31/16,8/1/16,8/31/16,9/1/16,9/30/16,10/1/16,12/31/16
Eastern Phoebe,1/1/16,2/14/16,2/15/16,3/31/16,4/1/16,4/23/16,4/24/16,8/23/16,8/24/16,9/7/16,9/8/16,11/7/16,11/8/16,12/31/16
Great-crested Flycatcher,1/1/16,4/7/16,4/8/16,5/14/16,5/15/16,5/31/16,6/1/16,7/31/16,8/1/16,8/14/16,8/15/16,9/30/16,10/1/16,12/31/16
Eastern Kingbird,1/1/16,3/14/16,3/15/16,5/14/16,5/15/16,5/23/16,5/24/16,7/23/16,7/24/16,8/23/16,8/24/16,10/23/16,10/24/16,12/31/16
Loggerhead Shrike,1/1/16,1/23/16,2/1/16,4/14/16,4/15/16,4/23/16,4/24/16,7/31/16,8/1/16,8/31/16,9/1/16,11/14/16,11/15/16,12/31/16
White-eyed Vireo,1/1/16,2/29/16,3/1/16,4/14/16,4/15/16,5/23/16,5/24/16,8/14/16,8/15/16,8/31/16,9/1/16,10/23/16,10/24/16,12/31/16
Yellow-throated Vireo,1/1/16,4/14/16,4/15/16,4/30/16,5/1/16,5/31/16,6/1/16,8/14/16,8/15/16,9/30/16,10/1/16,10/23/16,10/24/16,12/31/16
Blue-headed Vireo,1/1/16,2/29/16,3/1/16,5/7/16,5/8/16,5/23/16,5/24/16,8/14/16,8/15/16,8/31/16,9/1/16,10/23/16,10/24/16,12/31/16
Warbling Vireo,1/1/16,3/7/16,3/8/16,5/14/16,5/15/16,5/31/16,6/1/16,8/7/16,8/8/16,8/23/16,8/24/16,9/30/16,10/1/16,12/31/16
Red-eyed Vireo,1/1/16,4/7/16,4/8/16,5/14/16,5/15/16,6/7/16,6/8/16,7/31/16,8/1/16,9/7/16,9/8/16,10/23/16,10/24/16,12/31/16
Blue Jay,1/1/16,4/14/16,NA,NA,4/15/16,5/23/16,5/24/16,8/14/16,8/15/16,9/7/16,9/8/16,10/23/16,10/24/16,12/31/16
American Crow,1/1/16,2/14/16,2/15/16,3/14/16,3/15/16,4/30/16,5/1/16,9/7/16,9/8/16,9/14/16,9/15/16,11/30/16,12/1/16,12/31/16
Fish Crow,1/1/16,2/14/16,2/15/16,4/14/16,4/15/16,4/30/16,5/1/16,8/14/16,8/15/16,9/30/16,10/1/16,12/14/16,12/15/16,12/31/16
